Date,AAPL,AMZN,GOOGL,MSFT,SPY,MKT,SMB,HML,RMW,CMA,RF
2017-05-25,0.0034504302702325343,0.013203555671441804,0.014471104410134746,0.01228434888219971,0.004768312954814593,0.42,-0.35,-0.75,0.54,-0.63,0.003
2017-05-26,-0.0016911922814683265,0.0024131352851384795,0.0014206272948820327,0.004872008093492283,-0.00020693855377460873,0.06,-0.03,0.1,0.18,0.14,0.003
2017-05-30,0.0003906513071470133,0.0009234245291062594,0.0029153278426889626,0.006411364998386006,-0.0008692968763767225,-0.19,-0.54,-0.34,0.63,-0.04,0.003
2017-05-31,-0.005939684117017751,-0.002089069187958688,-0.009156676301203337,-0.008128327540606434,-0.00024835693094893603,-0.02,-0.04,-0.53,0.28,-0.09,0.003
2017-06-01,0.0027460061103697355,0.001336333363673719,0.0012149840549224458,0.0037159339505827547,0.007920727817624075,0.95,1.03,0.04,-0.2,0.05,0.003
2017-06-02,0.01471014149740379,0.010765631293672095,0.007891526321516849,0.023404175753222217,0.0033229820178680997,0.35,0.44,-0.76,0.15,-0.48,0.003
2017-06-05,-0.009825931188719179,0.004568790659168998,0.007760048706838496,0.007220463631908308,-0.0007378779222895472,-0.17,-0.46,-0.03,-0.17,0.05,0.003
2017-06-06,0.00337209339505745,-0.008280671342560294,-0.0071980278550073645,0.003315123964317137,-0.003201611493828818,-0.28,0.1,-0.03,-0.47,0.38,0.003
2017-06-07,0.005939215863128896,0.007024133440677958,0.004824422136864003,-0.0017945849609832668,0.0018485241262050475,0.15,-0.12,-0.04,0.53,-0.67,0.003
2017-06-08,-0.0024485237412110376,0.00019795324267072854,0.0027719894692338114,-0.00609642262947367,0.0004923397220911192,0.18,1.19,0.93,-0.69,-0.05,0.003
2017-06-09,-0.039548794948953456,-0.03214629874553708,-0.03460637392946415,-0.022915162688359636,-0.0015189619425892192,-0.12,0.31,2.44,-0.15,1.09,0.003
2017-06-12,-0.024185926541265553,-0.013791801417242575,-0.008602862458442101,-0.007708877912818897,-0.00020539450745655626,-0.11,-0.17,0.34,0.08,0.57,0.003
2017-06-13,0.008013251388256953,0.01632358873253813,0.00899451063114082,0.012390347177595292,0.004878033206073752,0.55,0.06,-0.14,-0.3,-0.08,0.003
2017-06-14,-0.009802690480506806,-0.0044143332596648256,-0.002651671008961963,-0.005392712833409609,-0.0012683237876727675,-0.17,-0.55,-0.52,0.12,-0.52,0.003
2017-06-15,-0.0060114204657677195,-0.012676434670089953,-0.008039019678917394,-0.005279433686469243,-0.001926295678129184,-0.3,-0.31,-0.11,0.08,-0.1,0.003
2017-06-16,-0.01409857836925163,0.02412154437769515,-0.001625998192446888,0.0014293851684506749,0.00021850614671582646,-0.03,-0.25,-0.15,-0.46,0.16,0.003
2017-06-19,0.028205847972286126,0.007524389573950505,0.017168373941170104,0.012351998524094002,0.008290481470215182,0.86,0.1,-0.75,-0.11,-0.1,0.003
2017-06-20,-0.009129896492186762,-0.002595844056369956,-0.00640880577898024,-0.013638412371898192,-0.0067668464625526,-0.73,-0.45,-0.48,-0.21,-0.23,0.003
2017-06-21,0.005913255890728312,0.009665076352671014,0.009858458637322183,0.005136462365822752,-0.00024702289519861826,-0.07,-0.23,-1.67,-0.23,-1.15,0.003
2017-06-22,-0.0016468603229390323,-0.0009283846759377528,-0.0020151150935461618,-0.00014235654026058616,-0.0004528343927466045,0.02,0.46,-0.4,-0.17,-0.03,0.003
2017-06-23,0.004453723379579544,0.002433900760344868,0.009649983207877619,0.013430588071533507,0.001193438839000963,0.24,0.75,-0.48,-0.37,0.08,0.003
2017-06-26,-0.003149749325228484,-0.009771195910067677,-0.014299251088444985,-0.009595229844479674,0.0006579876409060536,0.04,0.09,0.7,0.22,0.18,0.003
2017-06-27,-0.014436397350722593,-0.017455650195669983,-0.024998974498529475,-0.018892948272934838,-0.008088972437646332,-0.85,-0.21,1.34,0.34,0.35,0.003
